"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","0","54","23","31"
"Small Business Administration","Agency Overall","2017","94","1430","1500","24"
"National Archives and Records Administration","Agency Overall","2016","4396","49966","50205","4157"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","42","40","2"
"Federal Trade Commission","Agency Overall","2016","26","1260","1258","28"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","1","1","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","2","5","4","3"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","60","60","0"
"Social Security Administration","Agency Overall","2022","686","11762","11811","637"
"Equal Employment Opportunity Commission","Agency Overall","2015","1160","17883","17481","1562"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","25","25","0"
"Consumer Product Safety Commission","Agency Overall","2015","254","715","770","199"
"Legal Services Corporation","Agency Overall","2015","1","54","49","6"
"Equal Employment Opportunity Commission","Agency Overall","2017","2277","19002","17560","3719"
"Federal Communications Commission","Agency Overall","2019","62","700","703","59"
"Federal Reserve System","Agency Overall","2018","49","610","626","33"
"National Indian Gaming Commission","Agency Overall","2022","4","48","49","3"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","27","30","18","39"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","15","47","48","14"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","6","15","15","6"
"United States African Development Foundation","Agency Overall","2022","0","1","0","1"
